'Tis best to weigh the enemy more mighty than he seems.;William Shakespeare;best
A Bill of Rights is what the people are entitled to against every government, and what no just government should refuse, or rest on inference.;Thomas Jefferson;government
A boy's story is the best that is ever told.;Charles Dickens;best
A business absolutely devoted to service will have only one worry about profits. They will be embarrassingly large.;Henry Ford;business
A business that makes nothing but money is a poor business.;Henry Ford;business
A civilized society is one which tolerates eccentricity to the point of doubtful sanity.;Robert Frost;society
A coward is incapable of exhibiting love it is the prerogative of the brave.;Mahatma Gandhi;love
A diplomat is a man who always remembers a woman's birthday but never remembers her age.;Robert Frost;age
A fanatic is one who can't change his mind and won't change the subject.;Winston Churchill;change
A first-generation fortune is the most likely to be given away, but once a fortune is inherited it's less likely that a very high percentage will go back to society.;Bill Gates;society
A friend to all is a friend to none.;Aristotle;friendship
A genuine leader is not a searcher for consensus but a molder of consensus.;Martin Luther King, Jr.;leadership
A good conscience is a continual Christmas.;Benjamin Franklin;good
A good decision is based on knowledge and not on numbers.;Plato;good
A good head and a good heart are always a formidable combination.;Nelson Mandela;good
A good leader can engage in a debate frankly and thoroughly, knowing that at the end he and the other side must be closer, and thus emerge stronger. You don't have that idea when you are arrogant, superficial, and uninformed.;Nelson Mandela;good
A great city is not to be confounded with a populous one.;Aristotle;great
A great empire, like a great cake, is most easily diminished at the edges.;Benjamin Franklin;great
A hero is born among a hundred, a wise man is found among a thousand, but an accomplished one might not be found even among a hundred thousand men.;Plato;men
A house is not a home unless it contains food and fire for the mind as well as the body.;Benjamin Franklin;food
A joke is a very serious thing.;Winston Churchill;humor
A leader is a dealer in hope.;Napoleon Bonaparte;hope
A lie gets halfway around the world before the truth has a chance to get its pants on.;Winston Churchill;truth
A life of leisure and a life of laziness are two things. There will be sleeping enough in the grave.;Benjamin Franklin;life
A lot of companies have chosen to downsize, and maybe that was the right thing for them. We chose a different path. Our belief was that if we kept putting great products in front of customers, they would continue to open their wallets.;Steve Jobs;great
A lot of people in our industry haven't had very diverse experiences. So they don't have enough dots to connect, and they end up with very linear solutions without a broad perspective on the problem. The broader one's understanding of the human experience, the better design we will have.;Steve Jobs;design
A loving heart is the truest wisdom.;Charles Dickens;love
A man loves the meat in his youth that he cannot endure in his age.;William Shakespeare;age
A man paints with his brains and not with his hands.;Michelangelo;art
A man should never neglect his family for business.;Walt Disney;business
A man who carries a cat by the tail learns something he can learn in no other way.;Mark Twain;experience
A man who dares to waste one hour of time has not discovered the value of life.;Charles Darwin;life
A man who was completely innocent, offered himself as a sacrifice for the good of others, including his enemies, and became the ransom of the world. It was a perfect act.;Mahatma Gandhi;good
A man who won't die for something is not fit to live.;Martin Luther King, Jr.;death
A man's character may be learned from the adjectives which he habitually uses in conversation.;Mark Twain;communication
A man's friendships are one of the best measures of his worth.;Charles Darwin;best
A market is never saturated with a good product, but it is very quickly saturated with a bad one.;Henry Ford;good
A nation or civilization that continues to produce soft-minded men purchases its own spiritual death on the installment plan.;Martin Luther King, Jr.;death
A nation that continues year after year to spend more money on military defense than on programs of social uplift is approaching spiritual doom.;Martin Luther King, Jr.;money
